week,board,rank,skill,owner_repo,installs,captured_at
2026-W27,trending_24h,56,lipsync,runcomfy-com/skills,5600,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,57,video-extend,doany-ai/skills,5600,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,58,runcomfy-cli,runcomfy-com/skills,5600,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,59,image-outpainting,doany-ai/skills,5600,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,60,video-inpainting,runcomfy-com/skills,5600,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,61,relight,doany-ai/skills,5600,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,62,controlnet-pose,doany-ai/skills,5600,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,63,ai-video-generation,runcomfy-com/skills,5600,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,69,seedance-v2,doany-ai/skills,5500,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,70,video-outpainting,runcomfy-com/skills,5500,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,71,agentspace,agentspace-so/skills,5500,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,72,find-skills,agentspace-so/skills,5500,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,73,image-inpainting,doany-ai/skills,5500,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,74,ace-step,runcomfy-com/skills,5500,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,75,video-outpainting,doany-ai/skills,5500,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,76,flux-2-klein,doany-ai/skills,5500,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,77,ai-avatar-video,doany-ai/skills,5500,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,78,image-to-video,runcomfy-com/skills,5500,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,79,nano-banana-edit,doany-ai/skills,5500,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,80,video-extend,runcomfy-com/skills,5500,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,81,nano-banana-2,runcomfy-com/skills,5500,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,82,happyhorse-1-0,doany-ai/skills,5500,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,83,lipsync,doany-ai/skills,5500,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,84,seedance-v2,runcomfy-com/skills,5500,2026-07-05T09:14:36.826932+00:00
